Date,Open,High,Low,Close,Adj Close,Volume
2019-03-01,3.104000,3.129000,3.096000,3.124000,3.124000,0
2019-03-03,null,null,null,null,null,null
2019-03-04,3.114000,3.119000,3.088000,3.090000,3.090000,0
2019-03-05,3.105000,3.111000,3.087000,3.087000,3.087000,0
2019-03-06,3.080000,3.089000,3.054000,3.071000,3.071000,0
2019-03-07,3.058000,3.062000,3.025000,3.025000,3.025000,0
2019-03-08,3.022000,3.045000,3.006000,3.009000,3.009000,0
2019-03-10,null,null,null,null,null,null
2019-03-11,3.031000,3.039000,3.019000,3.033000,3.033000,0
2019-03-12,3.042000,3.042000,2.983000,2.988000,2.988000,0
2019-03-13,3.012000,3.018000,2.997000,3.010000,3.010000,0
2019-03-14,3.018000,3.049000,3.010000,3.045000,3.045000,0
2019-03-15,3.037000,3.037000,3.004000,3.020000,3.020000,0
2019-03-17,null,null,null,null,null,null
2019-03-18,3.026000,3.033000,3.007000,3.011000,3.011000,0
2019-03-19,3.026000,3.052000,3.021000,3.028000,3.028000,0
2019-03-20,3.012000,3.014000,2.971000,2.975000,2.975000,0
2019-03-21,2.955000,2.974000,2.955000,2.964000,2.964000,0
2019-03-22,2.910000,2.918000,2.857000,2.889000,2.889000,0
2019-03-24,null,null,null,null,null,null
2019-03-25,2.902000,2.905000,2.830000,2.867000,2.867000,0
2019-03-26,2.901000,2.902000,2.866000,2.867000,2.867000,0
2019-03-27,2.838000,2.866000,2.817000,2.821000,2.821000,0
2019-03-28,2.820000,2.830000,2.799000,2.811000,2.811000,0
2019-03-29,2.835000,2.846000,2.814000,2.822000,2.822000,0
2019-03-31,null,null,null,null,null,null
2019-04-01,2.847000,2.897000,2.835000,2.890000,2.890000,0
2019-04-02,2.872000,2.896000,2.866000,2.888000,2.888000,0
2019-04-03,2.920000,2.933000,2.913000,2.929000,2.929000,0
2019-04-04,2.925000,2.938000,2.914000,2.922000,2.922000,0
2019-04-05,2.938000,2.952000,2.902000,2.909000,2.909000,0
2019-04-07,null,null,null,null,null,null
2019-04-08,2.916000,2.928000,2.913000,2.925000,2.925000,0
2019-04-09,2.925000,2.925000,2.895000,2.911000,2.911000,0
2019-04-10,2.915000,2.923000,2.886000,2.904000,2.904000,0
2019-04-11,2.909000,2.938000,2.909000,2.938000,2.938000,0
2019-04-12,2.958000,2.975000,2.955000,2.971000,2.971000,0
2019-04-14,null,null,null,null,null,null
2019-04-15,2.978000,2.979000,2.960000,2.963000,2.963000,0
2019-04-16,2.984000,2.998000,2.977000,2.993000,2.993000,0
2019-04-17,2.997000,3.011000,2.979000,2.991000,2.991000,0
